time,speedX,speedY,speedZ,angle,damage,rpm,trackPos,steering,accel,brake,reward,loss,
18:20;12-16-16,-0.0011401066184,2.29630339891e-05,7.66023310522e-05,0.000448761759435,0.0,0.0942478027344,-0.000169848994119,-0.548840165138,0.999998688698,6.06380945456e-10,-0.342455773107,0.0,
18:20;12-16-16,-0.00207171003024,0.000212637012204,-0.000334116667509,-6.27871126451e-06,0.0,0.0942478027344,0.000263499998255,-0.544429183006,0.999999046326,4.3649084347e-10,-0.621361490672,0.0,
18:20;12-16-16,0.0080887333552,-0.00078525001804,0.000427879989147,0.000820171214504,0.0,0.0942478027344,-0.000658130971715,-0.554318845272,0.999998688698,6.29441776479e-10,2.41876236734,0.0,
18:20;12-16-16,0.0178134330114,-0.00156150668859,0.000985313355923,0.00508524300087,0.0,0.0963642028809,-0.00500431004912,-0.523931145668,0.999998211861,5.69246816351e-10,5.23123334068,0.0,
18:20;12-16-16,0.0278908665975,-0.00257426659266,0.00178778668245,0.012353609755,0.0,0.12085300293,-0.0138429002836,-0.350601792336,0.999998927116,3.04988777289e-11,7.92047948106,0.0,
18:20;12-16-16,0.038954334259,-0.00230602999528,0.00223433673382,0.0196640247629,0.0,0.159639001465,-0.0264110006392,-0.274298489094,1.0,3.82840514932e-13,10.6338811921,0.0,
18:20;12-16-16,0.0504679997762,-0.0023204300801,0.00298702339331,0.0269325183971,0.0,0.182115002441,-0.0441491007805,0.0558911263943,1.0,5.28997039315e-13,13.1382823669,0.0,
18:20;12-16-16,0.0631476656596,0.000608420024316,0.00393813331922,0.0261212432312,0.0,0.228554003906,-0.0597512982786,0.109388224781,1.0,1.89172462417e-12,16.1957290309,0.0,
18:20;12-16-16,0.0789839998881,0.00136427670717,0.0046154999733,0.0215819338396,0.0,0.28392800293,-0.073669500649,0.110387779772,1.0,1.69365259664e-12,20.289796346,0.0,
18:20;12-16-16,0.0987846692403,0.00169061998526,0.00708100001017,0.0154127518385,0.0,0.361864990234,-0.0860743969679,0.0940578281879,1.0,8.96518238336e-14,25.6154103148,0.0,
18:20;12-16-16,0.122742004395,0.00167735675971,0.00937816699346,0.00843111777108,0.0,0.44775,-0.0947844982147,0.0617560632527,1.0,8.07252722513e-15,32.3442586462,0.0,
18:20;12-16-16,0.150639330546,0.000850019951661,0.0115809003512,0.00213080593097,0.0,0.622914990234,-0.0987557992339,-0.0252399537712,1.0,3.10377139368e-15,40.4253171083,0.0,
18:20;12-16-16,0.182554664612,-4.80216679474e-05,0.0138872337341,0.00409791182024,0.0,0.844273046875,-0.103716999292,0.0787753164768,1.0,1.22286824221e-14,48.3766117081,0.0,
18:20;12-16-16,0.215395329793,-0.000820609976848,0.0182472674052,-0.00771890146084,0.0,0.865978027344,-0.101204998791,0.137330248952,1.0,1.3019095452e-15,56.4930480082,0.0,
18:20;12-16-16,0.213941345215,0.00227835675081,0.0192958339055,-0.0272526092465,0.0,0.465074023437,-0.0565032996237,0.0924519449472,1.0,1.18117272775e-15,54.8324093964,0.0,
18:20;12-16-16,0.230143992106,0.00156014670928,0.0211067326864,-0.0411701021772,0.0,0.522139990234,0.0302118007094,-0.0880007296801,1.0,9.12827652503e-21,57.4754090246,0.0,
18:20;12-16-16,0.246976674398,-0.0012960233291,0.0242079337438,-0.0320970210519,0.0,0.561904980469,0.122129999101,-0.422668784857,1.0,8.48824293387e-25,57.2090688652,0.0,
18:20;12-16-16,0.261876322428,-0.000912956694762,0.026482167244,0.00962640045233,0.0,0.611312988281,0.153070002794,-0.376129597425,1.0,7.04607663945e-26,64.1257923115,0.0,
18:20;12-16-16,0.277514343262,0.0016389699777,0.028001832962,0.0559399675209,0.0,0.647058984375,0.0608623996377,0.0899931415915,1.0,4.54599829934e-16,62.3489023628,0.0,
18:20;12-16-16,0.295966339111,0.000981130003929,0.0299994341532,0.0536328630803,0.0,0.674554980469,-0.108356997371,0.819056987762,1.0,1.44599247533e-14,63.0217146817,0.0,
18:20;12-16-16,0.287049001058,-0.00675106684367,0.0293253008525,-0.00117879102945,0.0,0.460120996094,-0.206460997462,0.854359149933,1.0,1.55641897482e-13,68.0158754417,0.0,
18:20;12-16-16,0.289527333577,-0.0111035998662,0.0282721010844,-0.0554469049068,0.0,0.493664013672,-0.150246992707,0.116456441581,0.999999880791,8.15049883138e-16,57.4399769265,0.0,
18:20;12-16-16,0.298307673136,-0.00115969330072,0.028362232844,-0.0818121371028,0.0,0.491887011719,0.046710498631,-0.321082174778,1.0,3.17583859091e-21,59.6233940002,0.0,
18:20;12-16-16,0.307620340983,0.00342463334401,0.026671667099,-0.0524907680013,0.0,0.514362011719,0.273945003748,-0.396251410246,0.999576628208,1.57838829897e-14,50.6032680699,0.0,
18:20;12-16-16,0.316082661947,0.00533943335215,0.0259750668208,-0.0117732999789,0.0,0.522710986328,0.386709988117,-0.496870517731,0.999995231628,2.89266615309e-17,54.5837617642,0.0,
18:20;12-16-16,0.322653325399,0.0173104667664,0.024498333931,0.0389731342795,0.0,0.550202978516,0.385726988316,-0.263030618429,1.0,2.64983462842e-18,46.9126180141,0.0,
18:20;12-16-16,0.331395670573,0.00200730999311,0.0202427005768,0.0573090140772,0.0,0.612527978516,0.245015993714,0.164656892419,1.0,4.20936668768e-13,55.6495455422,0.0,
18:20;12-16-16,0.344589996338,-0.000293295010924,0.0204752000173,0.044122738619,0.0,0.569016992188,0.0592637993395,0.560234129429,0.999999880791,1.34146568853e-10,81.975051244,0.0,
18:20;12-16-16,0.354350001017,-0.00768733342489,0.0140475336711,0.0155126371926,0.0,0.613208984375,-0.0843470990658,0.406340003014,0.999999761581,9.14160525056e-10,92.0335960742,0.0,
18:20;12-16-16,0.362546666463,-0.0211220328013,0.00496249993642,-0.0241665709844,0.0,0.740347998047,-0.0990582033992,0.127520352602,0.999999880791,1.59417580726e-14,89.4271037734,0.0,
18:20;12-16-16,0.37834332784,-0.00882513364156,0.00548996647199,-0.0389674045231,0.0,0.626077978516,-0.0327819995582,-0.42709878087,0.999999880791,2.00035843532e-20,95.0723345251,0.0,
18:20;12-16-16,0.3910399882,-0.00120592663685,-0.00159221331278,-0.0190925645671,0.0,0.657468994141,0.0938599035144,-0.536173939705,1.0,4.67164740736e-22,99.05784535,0.0,
18:20;12-16-16,0.381830012004,0.0341396681468,-0.00364420016607,0.0524630773407,0.0,0.481349023438,0.0855164006352,-0.310577064753,0.999996542931,1.79784513221e-17,84.4064653485,0.0,
18:20;12-16-16,0.383519999186,0.0289416344961,-0.00529219985008,0.0910087186689,0.0,0.509316992188,-0.0978149026632,0.487476289272,0.990693986416,4.04217462346e-05,66.6814124965,0.0,
18:20;12-16-16,0.391753336589,-0.0111327330271,-0.00822803338369,0.0447911896459,0.0,0.508375976562,-0.364966005087,0.937236130238,0.99962747097,0.000428068684414,56.988093679,0.0,
18:20;12-16-16,0.39043665568,-0.0274899673462,-0.0083473666509,-0.0115024504094,0.0,0.514389990234,-0.499713003635,0.516616284847,0.99959653616,0.0339014716446,54.2909126414,0.0,
18:20;12-16-16,0.391103337606,-0.0155215326945,-0.0102730329831,-0.0411003964652,0.0,0.507012011719,-0.464464992285,0.14074409008,0.174384251237,9.51583256636e-10,46.7502963398,0.0,
18:20;12-16-16,0.38875,-0.00742846647898,-0.0112924663226,-0.0686774247091,0.0,0.49035,-0.274268001318,-0.242691978812,0.999988079071,3.77641739958e-18,56.966609254,0.0,
18:20;12-16-16,0.397576675415,0.00374316652616,-0.0126529669762,-0.0430430352749,0.0,0.513349023437,-0.0386292003095,-0.235821902752,0.993868768215,3.35005352452e-12,97.497291247,0.0,
18:20;12-16-16,0.405276667277,0.0093693002065,-0.0136312007904,-0.00602600568119,0.0,0.523650976563,0.0876830965281,-0.27273273468,0.999825417995,4.50279496035e-14,108.598852224,0.0,
18:20;12-16-16,0.412923329671,0.00906850020091,-0.0150646336873,0.0255612425481,0.0,0.534395019531,0.078997798264,-0.013155371882,0.997858941555,1.85029847444e-07,103.7547558,0.0,
18:20;12-16-16,0.423246663411,0.0017323700587,-0.0162324666977,0.0336857027366,0.0,0.543685009766,-0.0396911986172,0.224943682551,0.999342858791,1.03450815914e-07,107.811689447,0.0,
18:20;12-16-16,0.432089996338,-0.00745539983114,-0.017104900678,0.00303206951809,0.0,0.559768017578,-0.139014005661,0.338279128075,0.941070795059,0.000135024049086,110.366401545,0.0,
18:20;12-16-16,0.438076680501,-0.012790500323,-0.0178565327326,-0.0346832827345,0.0,0.565929980469,-0.102374002337,0.103358976543,0.526184916496,8.72074906511e-07,102.897650954,0.0,
18:20;12-16-16,0.441069997152,-0.00619740009308,-0.0179137341181,-0.0576849392209,0.0,0.560775,0.0809814035892,-0.14861176908,0.992515981197,3.40039606715e-12,95.5900035298,0.0,
18:20;12-16-16,0.450850016276,0.00574876666069,-0.0186273336411,-0.0345935181318,0.0,0.580964990234,0.306567013264,-0.233406290412,0.990064680576,2.140678248e-07,78.3218502353,0.0,
18:20;12-16-16,0.458839975993,0.0113797664642,-0.0190232674281,-0.000566402488149,0.0,0.592974023438,0.420715004206,-0.0909936726093,0.977158427238,2.6717469126e-08,79.4945816802,0.0,
18:20;12-16-16,0.468240000407,0.00594413320223,-0.0188530333837,0.0202631459744,0.0,0.602068017578,0.398900985718,-0.145380944014,0.999628424644,0.00593953160569,75.2168218751,0.0,
18:20;12-16-16,0.477173309326,0.00820019960403,-0.0193747997284,0.0456286590003,0.0,0.614975,0.261449992657,-0.261180073023,0.999364674091,0.0146253276616,83.8064516704,0.0,
18:20;12-16-16,0.470900014242,0.022822599411,-0.0194804334641,0.0896555854675,0.0,0.484629003906,-0.0165222007781,0.260858923197,0.182259917259,0.420462548733,94.10278198,0.0,
18:20;12-16-16,0.432716674805,-0.0104913663864,-0.0179620663325,0.0596358548724,0.0,0.432806982422,-0.371697992086,0.711408555508,0.998800873756,0.934913873672,55.1123093513,0.0,
18:20;12-16-16,0.36831334432,-0.0259440994263,-0.0155273660024,0.0341969056267,0.0,0.333608007812,-0.62578701973,0.439687937498,0.999951124191,0.922603368759,28.8633716344,0.0,
18:20;12-16-16,0.298785654704,-0.00117828329404,-0.0117042334874,0.0536440048003,0.0,0.174404003906,-0.817084014416,0.875317752361,0.00023358152248,0.0489594675601,0.0911908739933,0.0,
18:20;12-16-16,0.275282007853,-0.00858479976654,-0.0102201000849,0.00241069836523,0.0,0.344693994141,-0.92642802,1.0,2.18088616954e-16,0.000134453730425,5.44810143421,0.0,
18:20;12-16-16,0.262478001912,-0.0197427002589,-0.00714979966482,-0.072533422704,0.0,0.418029980469,-0.875792980194,0.797836959362,0.0276762358844,0.0243633706123,-10.043525428,0.0,
18:20;12-16-16,0.238840662638,-0.0492693328857,-0.00198846995831,-0.185353957972,0.0,0.380532006836,-0.659588992596,-0.115735195577,0.818462848663,6.63087530484e-06,-26.8227465126,0.0,
18:20;12-16-16,0.223563664754,-0.0577269999186,0.000337029993534,-0.271784753055,0.0,0.485745996094,-0.290149003267,-0.999984741211,0.157447844744,7.05208803993e-05,-25.9465809969,0.0,
18:20;12-16-16,0.223773676554,-0.0146810992559,0.00186616996924,-0.208020437939,0.0,0.488556005859,0.155480995774,-0.999999523163,7.41657856906e-07,0.00242246314883,2.04665331398,0.0,
18:20;12-16-16,0.209401664734,0.0291390323639,0.00166171997786,-0.069975489639,0.0,0.446741015625,0.490491002798,-0.996409535408,2.49563907317e-08,0.0674050524831,16.7965587493,0.0,
18:20;12-16-16,0.176610336304,0.0578836695353,-6.57593334715e-05,0.0575671614218,0.0,0.367886010742,0.656975984573,-0.920512795448,2.95159970847e-05,0.0387905463576,7.78035078131,0.0,
