time,speedX,speedY,speedZ,angle,damage,rpm,trackPos,steering,accel,brake,reward,loss,
20:32;12-12-16,-7.92003314321e-07,5.08223318805e-05,1.24763332618e-05,0.00114828433063,0.0,0.0942478027344,-5.4931599152e-05,-0.0394031305676,0.62714305648,0.0130281929023,-7.92955742975e-07,0.0110219726339,
20:32;12-12-16,0.000224502012134,5.79746688406e-05,-5.8522336185e-05,0.00114722119223,0.0,0.0942478027344,1.04904002001e-05,-0.137394948111,0.588542326205,-0.0543430206297,0.000224241955873,0.357820093632,
20:32;12-12-16,0.00663819988569,-2.98693651954e-05,-7.50983320177e-05,0.0011095779407,0.0,0.0942478027344,-5.53130994376e-05,-0.45047665532,0.454164701503,-0.0909892740208,0.00663046302127,0.0173260737211,
20:32;12-12-16,0.0133178003629,-4.08169999719e-05,2.11895334845e-05,0.00132055647685,0.0,0.0942478027344,-0.000242996000452,-0.000919616612299,0.631842565448,-0.160858342375,0.013296965676,0.0826995968819,
20:32;12-12-16,0.019303299586,-0.000205900333822,0.000217144663135,0.00172308060953,0.0,0.0958130981445,-0.000576305028517,-0.0463114808231,0.687444281126,-0.090674776521,0.0192588852168,0.116414345801,
20:32;12-12-16,0.0253994003932,-0.000112852330009,-0.000113355666399,0.00222198563045,0.0,0.115180004883,-0.00107154995203,0.172776886045,0.441932368052,-0.109499607026,0.0253156839095,0.0476449877024,
20:32;12-12-16,0.0317951011658,-0.000241528997819,0.000131403331955,0.00301534893394,0.0,0.132476000977,-0.00179242994636,-0.0626754019935,0.699455938737,-0.13105414778,0.0316420929495,0.00175772793591,
20:32;12-12-16,0.0391193326314,-0.000947566628456,-2.64248996973e-05,0.0060083397228,0.0,0.157602001953,-0.00393628980964,-0.250696787946,0.488730030094,0.0246843189377,0.0387296006703,0.0142826111987,
20:32;12-12-16,0.0444003327688,-0.00327714661757,-0.000173012005786,0.0168947037665,0.0,0.162877001953,-0.0113543001935,0.469528491507,0.609592670586,-0.133061300524,0.0431397668118,0.0374477505684,
20:32;12-12-16,0.0529010009766,-1.72079664965e-05,5.74143355091e-05,0.0183355928355,0.0,0.172108996582,-0.0168823003769,0.190655806883,0.503686792083,-0.0354236570037,0.0510291012727,0.0338339209557,
20:32;12-12-16,0.0623556645711,-0.000486350009839,-0.000175632995864,0.0199253251337,0.0,0.23342199707,-0.0234091002494,-0.0855560456221,0.341374794246,-0.121660942431,0.0596412221198,0.0143811982125,
20:32;12-12-16,0.0688559977214,0.00198920329412,7.39006636043e-05,0.0138783735881,0.0,0.248134008789,-0.026729600504,-0.068806455893,0.500291171308,0.362622979576,0.0660532947813,0.00149949337356,
20:32;12-12-16,0.0809096654256,-0.000820329984029,-9.73529989521e-05,0.0157217341702,0.0,0.287583007813,-0.0330739989877,-0.35290276657,0.545240123596,-0.0894343851453,0.0769516722499,0.00622823927552,
20:32;12-12-16,0.0869816652934,-0.00342646678289,0.00010584499687,0.0271867194194,0.0,0.306597998047,-0.0474704988301,-0.380727146872,0.33028686901,-0.1319380808,0.0804560045525,0.012348420918,
20:32;12-12-16,0.0981843312581,0.00662506659826,-0.000188300001125,0.00982337031511,0.0,0.353114990234,-0.0515170991421,0.074157270753,0.483014768131,-0.0760572327597,0.0921569365101,0.0100225042552,
20:32;12-12-16,0.109148000081,0.00324717342854,0.000159693335493,-0.00388509026383,0.0,0.385319995117,-0.0465244017541,-0.128527270758,0.429118762544,-0.110535244837,0.103645082174,0.00484414491802,
20:32;12-12-16,0.115804328918,-0.00155969669422,7.85696692765e-05,-0.000108164632315,0.0,0.40334699707,-0.0460520014167,0.47812306603,0.46056590137,-0.0354012210414,0.110458781189,0.00135077093728,
20:32;12-12-16,0.0935803349813,-0.00098185668389,0.000152502333124,0.00403138522181,0.0,0.323052001953,-0.0490160994232,-0.547898386214,0.389193130416,-0.170955305775,0.0886153741843,0.00104750390165,
20:32;12-12-16,0.103964665731,-0.00548433343569,-0.000140708001951,0.0231895526539,0.0,0.369440991211,-0.0634580999613,0.361682099474,0.513674805308,0.126065224336,0.094928635038,0.00299120880663,
20:32;12-12-16,0.109607671102,-0.0063913333416,6.22940001388e-05,0.0471896476529,0.0,0.384186010742,-0.0933972969651,-0.254606629517,0.49988255568,0.00508831777012,0.0940781650064,0.00413477048278,
20:32;12-12-16,0.12051700592,0.00132833331823,-0.000199753666917,0.0465600337498,0.0,0.424097998047,-0.123337998986,-0.0639662783845,0.593414293972,-0.175624797075,0.0999128238722,0.00286490051076,
20:32;12-12-16,0.129975662231,-0.00251318991184,0.000185528670748,0.0550225993696,0.0,0.457052978516,-0.159535005689,0.37621830982,0.586229360681,-0.117070010586,0.101895303298,0.00106438854709,
20:32;12-12-16,0.13893699646,0.00833710034688,1.76577999567e-05,0.0300934869793,0.0,0.496941992188,-0.184306994081,-0.284684753143,0.600651275565,-0.0557600093404,0.109086561461,0.000470310274977,
20:32;12-12-16,0.145380338033,-0.00845233360926,-0.000156191661954,0.0445750573527,0.0,0.516891015625,-0.210784003139,0.327580597823,0.400952659065,-0.0765529952677,0.108113890506,0.00106666842476,
20:32;12-12-16,0.145898666382,0.0059671998024,3.30943986773e-05,0.037162275124,0.0,0.519497021484,-0.245719999075,0.14996858213,0.401476054855,-0.221686017032,0.104527033759,0.00152681011241,
20:32;12-12-16,0.157505671183,-0.00487050016721,-6.17616685728e-05,0.0474280633861,0.0,0.560160009766,-0.278816998005,0.00605510588062,0.581831384076,-0.123891178864,0.105945909011,0.00132922176272,
20:32;12-12-16,0.174260660807,-0.00127981334925,-0.000142970333497,0.0560096779761,0.0,0.622599023437,-0.327829003334,-0.00119776677483,0.437522871637,-0.104704353084,0.107104517178,0.000874554098118,
20:32;12-12-16,0.189420661926,0.00590816656748,-2.28645008368e-06,0.0289640941251,0.0,0.686735986328,-0.365240007639,-0.0365024400247,0.51527144418,-0.0905767305297,0.114671578393,0.000545788207091,
20:32;12-12-16,0.205966339111,-0.00427263339361,-6.31026675304e-05,0.0410055376918,0.0,0.744116992188,-0.398063004017,-0.466017289116,0.413230507894,-0.180307325372,0.115362228405,0.000528745586053,
20:32;12-12-16,0.213640670776,0.0053579668204,0.000114414331814,0.0223394119052,0.0,0.753000976562,-0.434873998165,0.0847166069756,0.492479521859,0.312262906545,0.115908381713,0.000551745528355,
20:32;12-12-16,0.222406336466,0.00288734674454,8.25859978795e-05,0.000919397785901,0.0,0.779129980469,-0.441956996918,-0.295543627196,0.433308664439,-0.0717851905491,0.123907726043,0.000578682054766,
