time,speedX,speedY,speedZ,angle,damage,rpm,trackPos,steering,accel,brake,reward,loss,
18:30;12-16-16,-0.000343683337172,0.00350166678429,-0.000791789988677,0.00292306778009,6.0,0.0942478027344,0.00679905992001,-0.187037199736,1.0,1.41024940191e-20,-0.103346446801,0.0,
18:30;12-16-16,-0.000309121335546,0.00362546682358,-0.000725600024064,0.00436726521425,6.0,0.0942478027344,0.0105520002544,-0.182124644518,1.0,1.76903107623e-20,-0.0930214391505,0.0,
18:30;12-16-16,0.0105557664235,0.000269548669457,-0.00012933233132,0.00291092436062,6.0,0.0942478027344,0.0118651995435,-0.191336333752,1.0,2.11486349655e-20,3.10006448332,0.0,
18:30;12-16-16,0.022162100474,-0.000384236673514,0.000256162658334,0.00408874444715,6.0,0.0942478027344,0.0115663995966,-0.15382348001,1.0,3.12442143986e-20,6.48578015079,0.0,
18:30;12-16-16,0.0336513328552,-0.000332679003477,0.000278437659144,0.00595670966097,6.0,0.138216003418,0.0108214002103,-0.146065935493,1.0,3.90875054239e-20,9.79547574045,0.0,
18:30;12-16-16,0.0459980010986,-0.000629689991474,0.000803096642097,0.00878440907264,6.0,0.166697998047,0.00933468993753,-0.117319434881,1.0,4.17620388382e-20,13.2845573169,0.0,
18:30;12-16-16,0.0594986661275,-0.000655449976524,0.000894503295422,0.0119404127356,6.0,0.213612011719,0.00692983996123,-0.114787466824,1.0,2.56903993657e-20,17.0439308926,0.0,
18:30;12-16-16,0.0749266688029,-0.000566810021798,0.00130621999502,0.0158993186733,6.0,0.275543994141,0.00310319010168,-0.115432329476,1.0,1.5997112438e-20,21.2579182224,0.0,
18:30;12-16-16,0.0952076657613,-0.00065920000275,0.00191627661387,0.0215792918906,6.0,0.358627001953,-0.00304240989499,-0.0951462611556,1.0,9.9814850541e-22,26.4749359284,0.0,
18:30;12-16-16,0.119995333354,0.000465853313605,0.00295298993587,0.0296096261263,6.0,0.521352001953,-0.012724599801,-0.0448712036014,1.0,1.39198419476e-23,32.0410760806,0.0,
18:30;12-16-16,0.149355672201,0.00608246684074,0.00364090005557,0.0435933907098,6.0,0.939571972656,-0.02616439946,0.0502325631678,1.0,3.88714958137e-25,37.097568514,0.0,
18:30;12-16-16,0.18001633962,0.0124717330933,0.00607483347257,0.0621065704201,6.0,0.942671972656,-0.0455650985241,0.511936903,1.0,3.16419751174e-26,40.0490671875,0.0,
18:30;12-16-16,0.211217664083,0.00767916679382,0.00505940000216,0.0379080731191,6.0,0.937736035156,-0.0697873011231,0.927560329437,1.0,1.44240061076e-25,50.9659107662,0.0,
18:30;12-16-16,0.209294001261,-0.00248655656974,-0.00426713347435,-0.0255423670799,6.0,0.454414990234,-0.0718306005001,0.349787414074,1.0,2.05734057413e-27,53.0430804366,0.0,
18:30;12-16-16,0.224819997152,-0.0214095671972,-0.0125322000186,-0.0928962939503,6.0,0.661081005859,-0.0387930013239,-0.122185587883,1.0,2.41030406916e-23,42.5722157747,0.0,
18:30;12-16-16,0.243306655884,-0.0360573323568,-0.0201608339945,-0.143376301651,6.0,0.782418994141,0.0272962003946,-0.47012335062,1.0,1.40942581605e-36,31.942011761,0.0,
18:30;12-16-16,0.267290344238,-0.0242345333099,-0.0243806997935,-0.136768203945,6.0,0.847475,0.1194299981,0.0503388904035,0.999993562698,1.04359134724e-14,29.9178968862,0.0,
18:30;12-16-16,0.294986673991,0.00349766651789,-0.0283537991842,-0.114462698632,6.0,0.678410986328,0.231518000364,0.0961968824267,0.999908685684,2.56053235255e-13,31.2058988024,0.0,
18:30;12-16-16,0.296980667114,0.00104695002238,-0.0321739991506,-0.131649795473,6.0,0.475568017578,0.35841101408,-0.0920363068581,0.999999284744,1.14501287221e-19,13.8427774387,0.0,
18:30;12-16-16,0.311955998739,0.00159650663535,-0.0316905339559,-0.121332761939,6.0,0.515679003906,0.492884010077,-0.129373654723,0.0996978059411,8.94976165e-06,5.92662444428,0.0,
18:30;12-16-16,0.312126668294,0.00279655337334,-0.0256027332942,-0.0952947567005,6.0,0.499829003906,0.612936019897,-0.302610784769,0.148461088538,2.04022200023e-07,4.46261737449,0.0,
18:30;12-16-16,0.308887659709,0.00935643355052,-0.0128346331914,-0.0374914064666,6.0,0.495791015625,0.694159984589,-0.409138590097,0.990501403809,2.32803956234e-14,16.8097353543,0.0,
18:30;12-16-16,0.31551167806,0.00649676680565,0.00278626342614,0.0168596576261,6.0,0.523404980469,0.713343024254,-0.644547224045,1.0,7.28147107245e-29,21.9892456913,0.0,
18:30;12-16-16,0.317913004557,0.0194914007187,0.0173724333445,0.0867529326126,6.0,0.550122021484,0.671965003014,-0.20498766005,1.0,1.30319384526e-19,2.09279347371,0.0,
18:30;12-16-16,0.323689676921,0.00845206658045,0.0335700003306,0.132759100977,6.0,0.532943994141,0.563728988171,0.241693615913,1.0,7.2758500042e-25,-5.29626032106,0.0,
18:30;12-16-16,0.334173329671,-0.00171992003918,0.0301125653585,0.106708687591,6.0,0.562837988281,0.428409993649,0.44321039319,1.0,8.20498387529e-27,18.7401717504,0.0,
18:30;12-16-16,0.343466669718,-0.00930716673533,0.0227604993184,0.0681051036269,6.0,0.587054003906,0.318729996681,0.72564136982,1.0,4.88474863649e-28,45.9700264459,0.0,
18:30;12-16-16,0.352616678874,-0.0135939995448,0.0132102330526,0.0347316654995,6.0,0.606972998047,0.243294999003,0.39874830842,1.0,3.69171126425e-25,67.8993147134,0.0,
